"Title","HN: Real households disposable income: CVM SA £m                        "
"CDID","NRJR"
"Source dataset ID","UKEA"
"PreUnit","£"
"Unit","m"
"Release date","30-06-2016"
"Next release","30 September 2016"
"Important notes",
"1948","210705"
"1949","215993"
"1950","222826"
"1951","220225"
"1952","224892"
"1953","235898"
"1954","243824"
"1955","255069"
"1956","261050"
"1957","265215"
"1958","270289"
"1959","284404"
"1960","303210"
"1961","315736"
"1962","319549"
"1963","332368"
"1964","346910"
"1965","353992"
"1966","361771"
"1967","366831"
"1968","373142"
"1969","376899"
"1970","391128"
"1971","396809"
"1972","430185"
"1973","457572"
"1974","453768"
"1975","457707"
"1976","456130"
"1977","447781"
"1978","480588"
"1979","509195"
"1980","517545"
"1981","515600"
"1982","516548"
"1983","529643"
"1984","549151"
"1985","575382"
"1986","599886"
"1987","610815"
"1988","645136"
"1989","679768"
"1990","707832"
"1991","722594"
"1992","743129"
"1993","762739"
"1994","777965"
"1995","798968"
"1996","821878"
"1997","852050"
"1998","870919"
"1999","902240"
"2000","957055"
"2001","1002337"
"2002","1026240"
"2003","1052063"
"2004","1067253"
"2005","1088260"
"2006","1105904"
"2007","1135995"
"2008","1126254"
"2009","1151406"
"2010","1162678"
"2011","1138529"
"2012","1163065"
"2013","1161542"
"2014","1179176"
"2015","1219954"
"1955 Q1","62925"
"1955 Q2","63823"
"1955 Q3","64749"
"1955 Q4","63572"
"1956 Q1","65369"
"1956 Q2","64760"
"1956 Q3","65685"
"1956 Q4","65236"
"1957 Q1","65902"
"1957 Q2","66374"
"1957 Q3","66436"
"1957 Q4","66503"
"1958 Q1","67540"
"1958 Q2","67238"
"1958 Q3","67720"
"1958 Q4","67791"
"1959 Q1","68990"
"1959 Q2","71235"
"1959 Q3","71731"
"1959 Q4","72448"
"1960 Q1","74013"
"1960 Q2","75377"
"1960 Q3","76533"
"1960 Q4","77286"
"1961 Q1","78055"
"1961 Q2","79352"
"1961 Q3","79363"
"1961 Q4","78966"
"1962 Q1","78988"
"1962 Q2","78970"
"1962 Q3","80133"
"1962 Q4","81458"
"1963 Q1","80959"
"1963 Q2","81842"
"1963 Q3","84667"
"1963 Q4","84900"
"1964 Q1","85762"
"1964 Q2","86207"
"1964 Q3","87093"
"1964 Q4","87848"
"1965 Q1","87530"
"1965 Q2","87666"
"1965 Q3","89196"
"1965 Q4","89600"
"1966 Q1","93273"
"1966 Q2","89591"
"1966 Q3","89187"
"1966 Q4","89720"
"1967 Q1","89492"
"1967 Q2","91285"
"1967 Q3","93584"
"1967 Q4","92470"
"1968 Q1","93949"
"1968 Q2","94162"
"1968 Q3","92505"
"1968 Q4","92526"
"1969 Q1","93699"
"1969 Q2","94609"
"1969 Q3","94240"
"1969 Q4","94351"
"1970 Q1","94841"
"1970 Q2","98824"
"1970 Q3","99040"
"1970 Q4","98423"
"1971 Q1","96162"
"1971 Q2","99420"
"1971 Q3","100081"
"1971 Q4","101146"
"1972 Q1","103056"
"1972 Q2","109626"
"1972 Q3","107953"
"1972 Q4","109550"
"1973 Q1","112124"
"1973 Q2","114443"
"1973 Q3","115389"
"1973 Q4","115616"
"1974 Q1","112454"
"1974 Q2","111128"
"1974 Q3","115230"
"1974 Q4","114956"
"1975 Q1","117095"
"1975 Q2","113395"
"1975 Q3","114608"
"1975 Q4","112609"
"1976 Q1","113913"
"1976 Q2","112622"
"1976 Q3","116303"
"1976 Q4","113292"
"1977 Q1","110369"
"1977 Q2","109505"
"1977 Q3","111641"
"1977 Q4","116266"
"1978 Q1","116052"
"1978 Q2","119479"
"1978 Q3","122536"
"1978 Q4","122521"
"1979 Q1","124146"
"1979 Q2","126318"
"1979 Q3","126518"
"1979 Q4","132213"
"1980 Q1","128468"
"1980 Q2","128786"
"1980 Q3","130715"
"1980 Q4","129576"
"1981 Q1","130257"
"1981 Q2","128403"
"1981 Q3","128032"
"1981 Q4","128908"
"1982 Q1","127662"
"1982 Q2","130103"
"1982 Q3","129150"
"1982 Q4","129633"
"1983 Q1","129014"
"1983 Q2","134249"
"1983 Q3","132889"
"1983 Q4","133491"
"1984 Q1","135810"
"1984 Q2","134144"
"1984 Q3","138018"
"1984 Q4","141179"
"1985 Q1","142813"
"1985 Q2","143424"
"1985 Q3","143555"
"1985 Q4","145590"
"1986 Q1","146957"
"1986 Q2","152552"
"1986 Q3","149993"
"1986 Q4","150384"
"1987 Q1","149060"
"1987 Q2","152573"
"1987 Q3","154091"
"1987 Q4","155091"
"1988 Q1","158107"
"1988 Q2","160788"
"1988 Q3","162720"
"1988 Q4","163521"
"1989 Q1","166318"
"1989 Q2","168454"
"1989 Q3","173666"
"1989 Q4","171330"
"1990 Q1","176819"
"1990 Q2","175062"
"1990 Q3","176628"
"1990 Q4","179323"
"1991 Q1","180441"
"1991 Q2","177248"
"1991 Q3","182366"
"1991 Q4","182539"
"1992 Q1","183348"
"1992 Q2","185730"
"1992 Q3","187083"
"1992 Q4","186968"
"1993 Q1","185606"
"1993 Q2","191275"
"1993 Q3","192676"
"1993 Q4","193182"
"1994 Q1","192957"
"1994 Q2","192821"
"1994 Q3","196674"
"1994 Q4","195513"
"1995 Q1","198600"
"1995 Q2","198793"
"1995 Q3","200473"
"1995 Q4","201102"
"1996 Q1","204956"
"1996 Q2","205147"
"1996 Q3","207841"
"1996 Q4","203934"
"1997 Q1","210650"
"1997 Q2","213933"
"1997 Q3","214990"
"1997 Q4","212477"
"1998 Q1","215296"
"1998 Q2","216605"
"1998 Q3","221167"
"1998 Q4","217851"
"1999 Q1","215731"
"1999 Q2","228303"
"1999 Q3","227002"
"1999 Q4","231204"
"2000 Q1","232868"
"2000 Q2","236633"
