# UK military fatalities from 1960 onwards
#
# Top-level source for a partial list of relevant wars:
# https://en.wikipedia.org/wiki/List_of_wars_involving_the_United_Kingdom
#
# Sources for numbers on specific UK wars:
# https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/369400/20141104_UK_Armed_Forces_Operational_deaths_post_World_War_II_O.pdf
# https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/416476/20150319-uk-armed-forces-operational-deaths-post-WW2-tables-figures.xls
# https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/512075/20160331_UK_Armed_Forces_Operational_deaths_post_World_War_II_Tables_and_Figures_O.xlsx
# https://en.wikipedia.org/wiki/Military_intervention_against_ISIL
# https://en.wikipedia.org/wiki/Operation_Shader
#
# I count only military deaths because Hibbs in his Oct. 2012 PS article
# specifically mentions "the cumulative number of American military
# fatalities per millions of US population over the presidential term",
# not all (i.e. cilivian included) war deaths of Americans. Also, only US
# military fatalities in "unprovoked, hostile deployments [...] in foreign
# conflicts" count in Hibbs's model.
#
# YR = year
# NAME = name of relevant war or military operation
# NMF = absolute number of UK military fatalities in that year & conflict
# U = 1 if UK deployment in the war was unprovoked, otherwise 0
# F = 1 if UK deployment on foreign territory, otherwise 0
# H = 1 if UK deployment was hostile, otherwise 0 (e.g. UN peacekeeping)
YR	NAME	NMF	U	F	H
1960	"Arab. Pen."	9	1	1	1	# Jebel Akhdar War?
1960	"Congo"	0	1	1	0
1961	"Congo"	2	1	1	0
1962	"Borneo"	2	1	1	1
1962	"Brunei"	7	1	1	1
1962	"Congo"	0	1	1	0
1963	"Borneo"	29	1	1	1
1963	"Congo"	0	1	1	0
1964	"Borneo"	43	1	1	1
1964	"Congo"	0	1	1	0
1964	"Malay Pen."	11	1	1	1
1964	"Radfan"	13	1	1	1
1964	"S Arabia"	14	1	1	1
1965	"Borneo"	47	1	1	1
1965	"Malay Pen."	19	1	1	1
1965	"S Arabia"	34	1	1	1
1966	"Borneo"	19	1	1	1
1966	"Malay Pen."	9	1	1	1
1966	"S Arabia"	38	1	1	1
1967	"S Arabia"	74	1	1	1
1969	"Dhofar"	0	1	1	1
1969	"NI"	7	1	0	1
1970	"Dhofar"	0	1	1	1
1970	"NI"	12	1	0	1
1971	"Dhofar"	6	1	1	1
1971	"NI"	65	1	0	1
1972	"Dhofar"	3	1	1	1
1972	"NI"	170	1	0	1
1973	"Dhofar"	3	1	1	1
1973	"NI"	101	1	0	1
1974	"Dhofar"	3	1	1	1
1974	"NI"	84	1	0	1
1975	"Dhofar"	10	1	1	1
1975	"NI"	57	1	0	1
1976	"Dhofar"	0	1	1	1
1976	"NI"	64	1	0	1
