YR	Q	RHDI	Y	PIH	RPDI	DLR
1955	1	62925	1955.125	49.09	1282	NA
1955	2	63823	1955.375	49.16	1298	5.135
1955	3	64749	1955.625	49.22	1315	5.239
1955	4	63572	1955.875	49.29	1290	-7.851
1956	1	65369	1956.125	49.35	1325	10.65
1956	2	64760	1956.375	49.41	1311	-4.241
1956	3	65685	1956.625	49.47	1328	5.183
1956	4	65236	1956.875	49.53	1317	-3.226
1957	1	65902	1957.125	49.59	1329	3.587
1957	2	66374	1957.375	49.65	1337	2.385
1957	3	66436	1957.625	49.71	1337	-0.09019
1957	4	66503	1957.875	49.76	1336	-0.05764
1958	1	67540	1958.125	49.82	1356	5.728
1958	2	67238	1958.375	49.88	1348	-2.259
1958	3	67720	1958.625	49.94	1356	2.386
1958	4	67791	1958.875	50	1356	-0.04816
1959	1	68990	1959.125	50.05	1378	6.562
1959	2	71235	1959.375	50.11	1422	12.39
1959	3	71731	1959.625	50.15	1430	2.385
1959	4	72448	1959.875	50.2	1443	3.586
1960	1	74013	1960.125	50.26	1473	8.111
1960	2	75377	1960.375	50.32	1498	6.779
1960	3	76533	1960.625	50.41	1518	5.445
1960	4	77286	1960.875	50.5	1530	3.181
1961	1	78055	1961.125	50.6	1543	3.171
1961	2	79352	1961.375	50.7	1565	5.786
1961	3	79363	1961.625	50.8	1562	-0.7361
1961	4	78966	1961.875	50.9	1551	-2.783
1962	1	78988	1962.125	51	1549	-0.6567
1962	2	78970	1962.375	51.09	1546	-0.8571
1962	3	80133	1962.625	51.19	1565	5.081
1962	4	81458	1962.875	51.29	1588	5.803
1963	1	80959	1963.125	51.38	1576	-3.192
1963	2	81842	1963.375	51.47	1590	3.64
1963	3	84667	1963.625	51.56	1642	12.91
1963	4	84900	1963.875	51.65	1644	0.4312
1964	1	85762	1964.125	51.74	1658	3.31
1964	2	86207	1964.375	51.85	1663	1.222
1964	3	87093	1964.625	51.98	1676	3.094
1964	4	87848	1964.875	52.12	1686	2.375
1965	1	87530	1965.125	52.26	1675	-2.519
1965	2	87666	1965.375	52.39	1673	-0.3495
1965	3	89196	1965.625	52.49	1699	6.112
1965	4	89600	1965.875	52.58	1704	1.123
1966	1	93273	1966.125	52.66	1771	15.45
1966	2	89591	1966.375	52.74	1699	-16.73
1966	3	89187	1966.625	52.83	1688	-2.466
1966	4	89720	1966.875	52.92	1695	1.702
1967	1	89492	1967.125	53.01	1688	-1.689
1967	2	91285	1967.375	53.09	1719	7.307
1967	3	93584	1967.625	53.17	1760	9.38
1967	4	92470	1967.875	53.24	1737	-5.352
1968	1	93949	1968.125	53.33	1762	5.724
1968	2	94162	1968.375	53.43	1762	0.1535
1968	3	92505	1968.625	53.55	1727	-8.022
1968	4	92526	1968.875	53.69	1723	-0.9238
1969	1	93699	1969.125	53.82	1741	4.032
1969	2	94609	1969.375	53.94	1754	2.968
1969	3	94240	1969.625	54.04	1744	-2.282
1969	4	94351	1969.875	54.12	1743	-0.1116
1970	1	94841	1970.125	54.19	1750	1.554
1970	2	98824	1970.375	54.26	1821	15.93
1970	3	99040	1970.625	54.34	1823	0.2901
1970	4	98423	1970.875	54.42	1809	-3.111
1971	1	96162	1971.125	54.5	1764	-9.886
